Category1,Category2,Block,Trial,mean1,mean2,mean_diff,se_diff,t_value,df,p_value,p_fdr,Significance,Direction
1R,2R,1,0,1.4440880444410273,1.4265805020410454,0.01750754239998198,0.06342878589745075,0.2760188793190446,195,0.782826186117464,0.8918273006401489,,
1R,2R,1,1,1.4351352894725264,1.4476461252464226,-0.012510835773896112,0.07782285288015288,-0.1607604361814233,192,0.8724511120167304,0.929599148780635,,
1R,2R,1,2,1.36795249193381,1.477788897982257,-0.10983640604844713,0.07039344616487862,-1.5603214792352043,196,0.12029887219167702,0.21653796994501864,,
1R,2R,1,3,1.3958653181875107,1.099527937365202,0.29633738082230865,0.06771578782587973,4.376193356625971,196,2.0053574680681215e-05,0.0003775869953797307,***,1R > 2R
1R,2R,1,4,1.1352188727359884,1.0506623999968419,0.08455647273914657,0.057835507722485135,1.4620166065607638,195,0.14544418547376162,0.25173032101227977,,
1R,2R,1,5,1.1190923606078549,0.9663176303250415,0.1527747302828134,0.06620866410072461,2.3074733852112477,196,0.022140849909542733,0.0739017539061598,†,1R > 2R
1R,2R,1,6,1.2055150010000277,0.9513446969829353,0.2541703040170924,0.06004221241764082,4.2331935114105725,196,3.5834621535893895e-05,0.0004607308483186358,***,1R > 2R
1R,2R,1,7,1.0368593777870772,1.090305447466907,-0.05344606967982979,0.05755408823518813,-0.928623340559729,196,0.35423457802309355,0.5226411806898101,,
1R,2R,1,8,1.0562006818140088,0.9996850100851772,0.05651567172883165,0.055384921348182264,1.0204162135311312,196,0.3087889919048278,0.46318348785724167,,
1R,2R,1,9,1.0924105777626807,1.0810134161575853,0.011397161605095407,0.06251709943929325,0.1823047087487246,196,0.8555547970693902,0.929599148780635,,
1R,2R,1,10,0.9441783970025284,0.9391569161520182,0.005021480850510129,0.04614195596402543,0.10882678780295153,196,0.9134545913624035,0.944953025547314,,
1R,2R,1,11,1.0717870242172378,0.9056930515160164,0.1660939727012214,0.050654385384455845,3.278965314465945,196,0.0012399430779023066,0.007971062643657685,**,1R > 2R
1R,2R,1,12,1.0604483272839578,1.019167366676733,0.04128096060722486,0.06941821375722694,0.5946704527949225,196,0.5527500334755411,0.7134793558884974,,
1R,2R,1,13,0.9657422464634977,0.9513500211906839,0.014392225272813808,0.042397750037258944,0.33945728865720437,196,0.7346356258613765,0.8476564913785114,,
1R,2R,2,0,1.524249021201793,1.4313836898743169,0.0928653313274761,0.07875240564597959,1.179206280312746,196,0.23974584940204313,0.3853058293961407,,
1R,2R,2,1,1.1138673262508065,1.2351278222235207,-0.12126049597271416,0.06961499667913056,-1.7418731847625883,196,0.08310533435504869,0.17808285933224718,,
1R,2R,2,2,1.0529045166592492,1.1618735929443134,-0.10896907628506414,0.0693342749713839,-1.5716480244444553,193,0.11785601708854858,0.2164702354687627,,
1R,2R,2,3,1.06514161313474,1.0677705131364186,-0.0026289000016785913,0.0603715328209963,-0.0435453578671486,196,0.9653123755233513,0.9820554598647914,,
1R,2R,2,4,0.9907228798126423,0.9805327929387277,0.010190086873914539,0.05848675735133456,0.17422895943267783,196,0.8618782478745567,0.929599148780635,,
1R,2R,2,5,1.0131229373947541,1.015631938389524,-0.0025090009947699166,0.06926058641644145,-0.03622552341217712,196,0.9711437325329604,0.9820554598647914,,
1R,2R,2,6,0.915716538387001,1.1752398282766594,-0.25952328988965845,0.06432267219570775,-4.034709396090301,196,8.781378280635886e-05,0.0008175852560116593,***,2R > 1R
1R,2R,2,7,0.9933343100706546,0.9798883484668295,0.013445961603825163,0.054215082164389854,0.24801145856524934,194,0.8044027674398657,0.8959321617943865,,
1R,2R,2,8,0.9532338070904358,0.9923801383794963,-0.03914633128906053,0.057786394611706246,-0.6774316264598786,196,0.4989626771227701,0.6702483722544673,,
1R,2R,2,9,0.8476368060725341,1.0437085234769312,-0.1960717174043971,0.04529334324858329,-4.328930110729461,195,2.5172466358648712e-05,0.0003775869953797307,***,2R > 1R
1R,2R,2,10,1.0093142141484859,0.9664227343272881,0.04289147982119779,0.0586646917838303,0.7311293815238271,196,0.4655794235845332,0.6547210644157497,,
1R,2R,2,11,0.907388229285539,0.8435603393904142,0.06382788989512478,0.04213888797909692,1.5147027592846476,196,0.13148207455856106,0.2320271903974607,,
1R,2R,2,12,0.8769121242461198,0.9872660757658958,-0.110353951519776,0.053604033137350925,-2.058687472955876,196,0.04095549368238439,0.10841160092395867,,
1R,2R,2,13,0.8898019255051905,0.9680817777951032,-0.07827985228991263,0.046947946611606395,-1.667375421922296,195,0.09719869863933234,0.18807325762532748,,
1R,2R,2,14,0.8845775090710067,0.8633396383889804,0.021237870682026316,0.04224191338471314,0.5027677247620146,196,0.6156972813693667,0.7469181346922847,,
1R,2R,2,15,0.9850864343469803,0.8716177444388074,0.11346868990817294,0.054697632308557044,2.0744716931818927,196,0.03934216410643234,0.10729681119936094,,
2R,4R,1,0,1.4265805020410454,1.5492150107711915,-0.12263450873014614,0.06258746724670972,-1.9594099925267892,226,0.05134316419946499,0.12835791049866246,,
2R,4R,1,1,1.4476461252464226,1.6148609527757634,-0.1672148275293408,0.07324015027508209,-2.2831032828482742,224,0.023432860657975202,0.0739017539061598,†,4R > 2R
2R,4R,1,2,1.477788897982257,1.4038989122214003,0.07388998576085681,0.07214189481810204,1.024231286787828,228,0.3068284770222869,0.46318348785724167,,
2R,4R,1,3,1.099527937365202,1.3570839198639828,-0.25755598249878076,0.06489474960648457,-3.9688262002792998,228,9.680226010383444e-05,0.0008175852560116593,***,4R > 2R
2R,4R,1,4,1.0506623999968419,1.1811586687006306,-0.13049626870378872,0.05847370147987574,-2.2317087066687606,227,0.026626432570069955,0.07987929771020987,†,4R > 2R
2R,4R,1,5,0.9663176303250415,1.147205745456042,-0.18088811513100056,0.06198687398668537,-2.918168049091408,229,0.0038717527585117877,0.018339881487687417,*,4R > 2R
2R,4R,1,6,0.9513446969829353,1.1073499818236245,-0.1560052848406892,0.05650522929895773,-2.7608999516716737,229,0.00623404397421622,0.026717331318069512,*,4R > 2R
2R,4R,1,7,1.090305447466907,1.0511477636493791,0.03915768381752782,0.055771236009648395,0.7021125336141656,229,0.4833323924814974,0.6590896261111329,,
2R,4R,1,8,0.9996850100851772,1.101502416664244,-0.1018174065790668,0.055103403276472535,-1.8477516909112528,229,0.0659573849471254,0.156214859085297,,
2R,4R,1,9,1.0810134161575853,0.9982704969808599,0.08274291917672538,0.061359763270875445,1.348488239947293,229,0.17923442850058968,0.2987240475009828,,
2R,4R,1,10,0.9391569161520182,1.0190743394118107,-0.07991742325979245,0.04812328611108272,-1.6606809243101042,229,0.09821603453767103,0.18807325762532748,,
2R,4R,1,11,0.9056930515160164,0.9960815625808668,-0.09038851106485035,0.05348629837575287,-1.6899376814198548,228,0.09243091848038641,0.18486183696077282,,
2R,4R,1,12,1.019167366676733,0.9595484015386,0.05961896513813292,0.056037139292824244,1.063918784765077,228,0.28895732812718355,0.44838206088700894,,
2R,4R,1,13,0.9513500211906839,0.9656829946931904,-0.014332973502506507,0.03980599303810559,-0.3600707433372105,229,0.7191311453357783,0.840542897145715,,
2R,4R,2,0,1.4313836898743169,1.5604564646099124,-0.12907277473559553,0.07114384958749233,-1.8142506412569441,227,0.071155509125804,0.16420502105954768,,
2R,4R,2,1,1.2351278222235207,1.4574647446165903,-0.22233692239306957,0.07080108729096678,-3.140303784874737,227,0.0019182843388967352,0.011066284115397979,*,4R > 2R
2R,4R,2,2,1.1618735929443134,1.3940453330642169,-0.2321717401199035,0.0783906288465605,-2.96172825165556,227,0.003397272471736152,0.017787603622057477,*,4R > 2R
2R,4R,2,3,1.0677705131364186,1.245425236373821,-0.1776547232374024,0.06915199240213424,-2.5690470667034524,229,0.010833644321341367,0.04062616620503012,*,4R > 2R
2R,4R,2,4,0.9805327929387277,1.1777196809154167,-0.19718688797668893,0.0669346040490855,-2.9459633141638495,228,0.003557520724411496,0.017787603622057477,*,4R > 2R
2R,4R,2,5,1.015631938389524,1.1693107488459291,-0.15367881045640508,0.07097499775963317,-2.1652527693887365,228,0.03159307751477866,0.0917218379461316,†,4R > 2R
2R,4R,2,6,1.1752398282766594,1.1298676515188968,0.04537217675776262,0.07302648929144576,0.6213112145742636,229,0.5351006061033183,0.7082213904308625,,
2R,4R,2,7,0.9798883484668295,1.1194982723098361,-0.13960992384300663,0.06119068614278474,-2.2815551294397216,225,0.02346273672182181,0.0739017539061598,†,4R > 2R
2R,4R,2,8,0.9923801383794963,1.0271046575778275,-0.034724519198331194,0.05872129442896253,-0.5913445801222726,229,0.5549283879132758,0.7134793558884974,,
2R,4R,2,9,1.0437085234769312,0.9988137530274068,0.04489477044952439,0.052608451748353845,0.8533756261118098,228,0.3943641439988754,0.5724640799983676,,
2R,4R,2,10,0.9664227343272881,1.0726092249906183,-0.10618649066333019,0.060807731448992576,-1.7462662745838948,229,0.08213765775034464,0.17808285933224718,,
2R,4R,2,11,0.8435603393904142,1.099101052291899,-0.2555407129014847,0.05203630777683624,-4.910815617383941,229,1.740554664245931e-06,5.221663992737793e-05,***,4R > 2R
2R,4R,2,12,0.9872660757658958,1.0175029681786396,-0.030236892412743854,0.06132168853097394,-0.4930864289144783,229,0.6224317789102373,0.7469181346922847,,
2R,4R,2,13,0.9680817777951032,0.9755585863350964,-0.007476808539993218,0.04862708498225024,-0.15375810708625426,229,0.8779547516261552,0.929599148780635,,
2R,4R,2,14,0.8633396383889804,1.074785744714201,-0.21144610632522065,0.049010874817358926,-4.314269172161962,229,2.3837917592457304e-05,0.0003775869953797307,***,4R > 2R
2R,4R,2,15,0.8716177444388074,0.9788986363760538,-0.10728089193724644,0.05293206488014478,-2.026765669923607,229,0.043906864001624066,0.11290336457560474,,
1R,4R,1,0,1.4440880444410273,1.5492150107711915,-0.10512696633016416,0.061684165597890646,-1.7042779992432788,227,0.08973515597034523,0.18486183696077282,,
1R,4R,1,1,1.4351352894725264,1.6148609527757634,-0.17972566330323692,0.07260130972461495,-2.4755154415940543,220,0.014118981615112429,0.05082833381440474,†,4R > 1R
1R,4R,1,2,1.36795249193381,1.4038989122214003,-0.03594642028759032,0.07099961561391537,-0.5062903506838861,228,0.6131461613184062,0.7469181346922847,,
1R,4R,1,3,1.3958653181875107,1.3570839198639828,0.038781398323527894,0.072241594115992,0.5368292158844113,228,0.5919330268988172,0.7469181346922847,,
1R,4R,1,4,1.1352188727359884,1.1811586687006306,-0.04593979596464215,0.06527962902649474,-0.7037386187656913,228,0.48232469232807507,0.6590896261111329,,
1R,4R,1,5,1.1190923606078549,1.147205745456042,-0.02811338484818715,0.07040993617313332,-0.3992814988364458,229,0.6900822725631081,0.8172026911931543,,
1R,4R,1,6,1.2055150010000277,1.1073499818236245,0.09816501917640319,0.061880004111122364,1.5863770629381542,229,0.11412288870795237,0.2139804163274107,,
1R,4R,1,7,1.0368593777870772,1.0511477636493791,-0.014288385862301967,0.058213568787667036,-0.24544768788216034,229,0.8063389456149479,0.8959321617943865,,
1R,4R,1,8,1.0562006818140088,1.101502416664244,-0.04530173485023514,0.05523527125394216,-0.8201595433823808,229,0.4129987351344293,0.5899981930491848,,
1R,4R,1,9,1.0924105777626807,0.9982704969808599,0.09414008078182079,0.049047078835254686,1.91938201045632,229,0.056231546578887445,0.13677943762432082,,
1R,4R,1,10,0.9441783970025284,1.0190743394118107,-0.07489594240928232,0.04409757538349167,-1.6984140683009143,229,0.09079106616102142,0.18486183696077282,,
1R,4R,1,11,1.0717870242172378,0.9960815625808668,0.07570546163637104,0.05783494151549969,1.3089917557205806,228,0.19185855161892026,0.3139503571945968,,
1R,4R,1,12,1.0604483272839578,0.9595484015386,0.10089992574535778,0.057066992314801564,1.7680960858907433,228,0.07896909182485,0.1776804566059125,,
1R,4R,1,13,0.9657422464634977,0.9656829946931904,5.925177030730033e-05,0.04280653879889993,0.001384175688337199,229,0.9988968763492456,0.9988968763492456,,
1R,4R,2,0,1.524249021201793,1.5604564646099124,-0.03620744340811943,0.07043254675742756,-0.5140726137991187,227,0.6077696762259421,0.7469181346922847,,
1R,4R,2,1,1.1138673262508065,1.4574647446165903,-0.3435974183657837,0.06866441254066387,-5.004010165561402,227,1.1328432062079102e-06,5.097794427935596e-05,***,4R > 1R
1R,4R,2,2,1.0529045166592492,1.3940453330642169,-0.34114081640496763,0.06671119150110899,-5.113696948424264,224,6.884472945446373e-07,5.097794427935596e-05,***,4R > 1R
1R,4R,2,3,1.06514161313474,1.245425236373821,-0.18028362323908098,0.06459828492509676,-2.7908422560772954,229,0.005708139735240415,0.025686628808581868,*,4R > 1R
1R,4R,2,4,0.9907228798126423,1.1777196809154167,-0.1869968011027744,0.05969893304914474,-3.1323307059581253,228,0.001967339398292974,0.011066284115397979,*,4R > 1R
1R,4R,2,5,1.0131229373947541,1.1693107488459291,-0.156187811451175,0.05824783730806698,-2.681435374589331,228,0.00786932074154256,0.03219267576085593,*,4R > 1R
1R,4R,2,6,0.915716538387001,1.1298676515188968,-0.21415111313189583,0.05400337006236274,-3.965513872274925,229,9.992708684586947e-05,0.0008175852560116593,***,4R > 1R
1R,4R,2,7,0.9933343100706546,1.1194982723098361,-0.12616396223918147,0.05543996858050217,-2.275686034272977,227,0.023812787369762604,0.0739017539061598,†,4R > 1R
1R,4R,2,8,0.9532338070904358,1.0271046575778275,-0.07387085048739173,0.05275027442405295,-1.400387984592328,229,0.16276582654645805,0.27639479979587217,,
1R,4R,2,9,0.8476368060725341,0.9988137530274068,-0.15117694695487272,0.045626215709442745,-3.313379043258793,229,0.0010776603545733622,0.0074607255316617395,**,4R > 1R
1R,4R,2,10,1.0093142141484859,1.0726092249906183,-0.0632950108421324,0.058383996504595616,-1.0841157617079233,229,0.27945907349963817,0.4412511686836392,,
1R,4R,2,11,0.907388229285539,1.099101052291899,-0.19171282300635994,0.04993596092253338,-3.8391736028424037,229,0.00016191875206612768,0.0012143906404959576,**,4R > 1R
1R,4R,2,12,0.8769121242461198,1.0175029681786396,-0.14059084393251986,0.05420422479062273,-2.5937248337299703,229,0.010122085113248355,0.039608159138797915,*,4R > 1R
1R,4R,2,13,0.8898019255051905,0.9755585863350964,-0.08575666082990585,0.04087786949062384,-2.0978750091067213,228,0.03702065756341925,0.10412059939711663,,
1R,4R,2,14,0.8845775090710067,1.074785744714201,-0.19020823564319433,0.047224048792912726,-4.027783311788809,229,7.701699540445191e-05,0.0008175852560116593,***,4R > 1R
1R,4R,2,15,0.9850864343469803,0.9788986363760538,0.006187797970926501,0.052516336707602494,0.11782615389528356,229,0.9063134692821151,0.944953025547314,,
